Devices
1200
,,Imported Kistler Force Plate 1.1.0.0 #2 - Force,,,Imported Kistler Force Plate 1.1.0.0 #2 - Moment,,,Imported Kistler Force Plate 1.1.0.0 #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
10,0,0.0078762,3.66526,-714.112,8442.18,24944.9,-41.8747,774.931,278.178,0
10,1,0.0252602,3.66377,-714.129,8443.62,24960.4,-40.7205,774.952,278.176,0
10,2,0.0429211,3.6622,-714.147,8445.15,24976.1,-39.5706,774.973,278.175,0
10,3,0.0608742,3.66053,-714.164,8446.75,24992,-38.4317,774.995,278.173,0
10,4,0.0791312,3.65877,-714.181,8448.39,25008.3,-37.3104,775.017,278.171,0
10,5,0.0976991,3.65689,-714.198,8450.06,25024.8,-36.2131,775.039,278.168,0
10,6,0.116583,3.65488,-714.214,8451.73,25041.7,-35.1461,775.062,278.166,0
10,7,0.135785,3.65274,-714.23,8453.4,25058.7,-34.1156,775.085,278.164,0
10,8,0.155307,3.65047,-714.245,8455.07,25076.1,-33.1263,775.109,278.162,0
10,9,0.175145,3.64807,-714.26,8456.75,25093.6,-32.181,775.132,278.16,0
11,0,0.195294,3.64553,-714.273,8458.46,25111.4,-31.28,775.157,278.158,0
11,1,0.215747,3.64288,-714.286,8460.23,25129.4,-30.422,775.181,278.156,0
11,2,0.236493,3.64012,-714.298,8462.09,25147.5,-29.6039,775.206,278.153,0
11,3,0.257514,3.63725,-714.309,8464.09,25165.8,-28.8221,775.231,278.151,0
11,4,0.278786,3.63428,-714.32,8466.27,25184.3,-28.0728,775.256,278.148,0
11,5,0.300283,3.63121,-714.329,8468.64,25202.9,-27.3526,775.282,278.145,0
11,6,0.321976,3.62804,-714.338,8471.25,25221.6,-26.6592,775.308,278.141,0
11,7,0.34384,3.62479,-714.346,8474.1,25240.4,-25.9916,775.334,278.137,0
11,8,0.365848,3.62146,-714.353,8477.18,25259.2,-25.3501,775.36,278.133,0
11,9,0.387977,3.61808,-714.359,8480.47,25278,-24.7364,775.386,278.129,0
12,0,0.410201,3.61466,-714.364,8483.96,25296.7,-24.154,775.412,278.124,0
12,1,0.432497,3.61124,-714.369,8487.59,25315.4,-23.6064,775.437,278.119,0
12,2,0.45484,3.60782,-714.373,8491.32,25333.9,-23.0976,775.463,278.114,0
12,3,0.477213,3.60444,-714.376,8495.09,25352.2,-22.6323,775.489,278.108,0
12,4,0.499603,3.6011,-714.378,8498.85,25370.4,-22.2155,775.514,278.103,0
12,5,0.521995,3.5978,-714.38,8502.57,25388.4,-21.8511,775.539,278.098,0
12,6,0.544373,3.59455,-714.38,8506.23,25406.2,-21.5421,775.564,278.093,0
12,7,0.566714,3.59134,-714.379,8509.79,25423.8,-21.2907,775.589,278.088,0
12,8,0.588998,3.58816,-714.377,8513.24,25441.2,-21.0985,775.613,278.083,0
12,9,0.611202,3.58501,-714.374,8516.57,25458.4,-20.9658,775.637,278.078,0
13,0,0.633305,3.58187,-714.369,8519.76,25475.3,-20.8917,775.661,278.074,0
13,1,0.655288,3.57873,-714.363,8522.82,25492,-20.8752,775.685,278.069,0
13,2,0.677136,3.57559,-714.355,8525.73,25508.6,-20.9154,775.709,278.065,0
13,3,0.698831,3.57245,-714.345,8528.49,25524.8,-21.012,775.732,278.061,0
13,4,0.72035,3.5693,-714.334,8531.1,25540.9,-21.1651,775.755,278.057,0
13,5,0.74167,3.56615,-714.322,8533.53,25556.8,-21.3741,775.778,278.054,0
13,6,0.762771,3.56301,-714.308,8535.77,25572.4,-21.6378,775.8,278.05,0
13,7,0.78363,3.55988,-714.292,8537.81,25587.9,-21.9551,775.823,278.047,0
13,8,0.80423,3.55678,-714.276,8539.63,25603.2,-22.3253,775.845,278.044,0
13,9,0.824549,3.5537,-714.258,8541.22,25618.4,-22.7485,775.867,278.042,0
14,0,0.844563,3.55066,-714.24,8542.57,25633.5,-23.2244,775.889,278.04,0
14,1,0.864244,3.54767,-714.221,8543.67,25648.5,-23.7527,775.911,278.038,0
14,2,0.883561,3.54474,-714.201,8544.52,25663.4,-24.3318,775.933,278.036,0
14,3,0.902484,3.5419,-714.181,8545.12,25678.2,-24.9598,775.955,278.035,0
14,4,0.920985,3.53916,-714.16,8545.47,25692.9,-25.6346,775.976,278.034,0
14,5,0.939039,3.53654,-714.14,8545.59,25707.4,-26.3546,775.998,278.034,0
14,6,0.956629,3.53405,-714.119,8545.47,25721.8,-27.1191,776.019,278.034,0
14,7,0.973744,3.53172,-714.098,8545.12,25736.1,-27.9282,776.04,278.034,0
14,8,0.990375,3.52954,-714.076,8544.55,25750.2,-28.7818,776.061,278.034,0
14,9,1.00651,3.52752,-714.055,8543.77,25764.2,-29.6785,776.081,278.035,0
15,0,1.02215,3.52566,-714.033,8542.83,25778,-30.6146,776.102,278.036,0
15,1,1.03729,3.52395,-714.011,8541.73,25791.6,-31.5846,776.122,278.037,0
15,2,1.05192,3.5224,-713.989,8540.54,25805.1,-32.5822,776.142,278.038,0
15,3,1.06604,3.52099,-713.967,8539.28,25818.5,-33.6018,776.162,278.04,0
15,4,1.07964,3.51971,-713.944,8538.01,25831.7,-34.6368,776.182,278.041,0
15,5,1.0927,3.51857,-713.921,8536.77,25844.8,-35.6805,776.201,278.042,0
15,6,1.10523,3.51755,-713.898,8535.6,25857.8,-36.7269,776.221,278.044,0
15,7,1.11722,3.51665,-713.874,8534.53,25870.6,-37.7707,776.24,278.045,0
15,8,1.12868,3.51588,-713.85,8533.57,25883.2,-38.8084,776.259,278.046,0
15,9,1.1396,3.51523,-713.827,8532.74,25895.5,-39.8377,776.277,278.047,0
16,0,1.14997,3.5147,-713.804,8532.02,25907.7,-40.8584,776.295,278.047,0
16,1,1.1598,3.51429,-713.781,8531.42,25919.6,-41.8715,776.313,278.048,0
16,2,1.16908,3.514,-713.758,8530.93,25931.2,-42.8782,776.331,278.048,0
16,3,1.1778,3.51384,-713.736,8530.56,25942.5,-43.8791,776.348,278.048,0
16,4,1.18596,3.51379,-713.715,8530.29,25953.4,-44.8745,776.364,278.048,0
16,5,1.19354,3.51389,-713.694,8530.11,25964,-45.8635,776.38,278.048,0
16,6,1.20054,3.51412,-713.674,8530.03,25974.2,-46.8426,776.395,278.048,0
16,7,1.20695,3.51449,-713.655,8530.04,25983.8,-47.8053,776.41,278.047,0
16,8,1.21276,3.51501,-713.636,8530.12,25993,-48.7439,776.423,278.047,0
16,9,1.21796,3.51567,-713.619,8530.25,26001.8,-49.6516,776.437,278.046,0
17,0,1.22253,3.51649,-713.603,8530.43,26010.1,-50.5228,776.449,278.046,0
17,1,1.22647,3.51746,-713.587,8530.64,26017.9,-51.3535,776.461,278.045,0
17,2,1.22976,3.51857,-713.573,8530.89,26025.3,-52.1409,776.472,278.045,0
17,3,1.23241,3.51981,-713.56,8531.15,26032.3,-52.8824,776.482,278.044,0
17,4,1.2344,3.52118,-713.548,8531.45,26038.9,-53.5755,776.492,278.044,0
17,5,1.23576,3.52265,-713.536,8531.78,26045.1,-54.2185,776.501,278.043,0
17,6,1.23649,3.5242,-713.525,8532.17,26050.9,-54.8107,776.51,278.042,0
17,7,1.23663,3.52583,-713.514,8532.62,26056.4,-55.3522,776.518,278.041,0
17,8,1.23619,3.52752,-713.503,8533.16,26061.6,-55.8436,776.526,278.04,0
17,9,1.23519,3.52926,-713.492,8533.79,26066.6,-56.2863,776.534,278.039,0
